Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Alco | N/A | 2019-03-19 | 2019-03-26 | E | 1000 | N/A | 1 | 33 | 24 | 7 | 9 | 7 | 2 | N/A | 3 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | N/A | 2019-03-18 | 2019-03-20 | E | 1452 | N/A | 1 | 36 | 24 | 8 | 7 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2019-03-18 | 2019-03-20 | N | 1204 | N/A | 0.1 | 36.8 | 26.0 | 7.4 | 7.5 | 6.2 | 1.8 | 1.4 | 1.7 | N/A | 1.5 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vox Pop Analysis | Documento | 2019-03-18 | 2019-03-20 | N | 1000 | N/A | 0.1 | 30.5 | 28.2 | 5.8 | 7.8 | 4.4 | 0.7 | 0.4 | N/A | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-02-24 | 2019-02-26 | N | 1323 | N/A | 0.5 | 37.0 | 24.5 | 8.0 | 9.0 | 7.0 | 2.0 | 1.0 | 1.0 | 1.0 | 1.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open | 2019-02-18 | 2019-02-23 | N | 1000 | N/A | 0.1 | 32.8 | 25.0 | 5.7 | 7.3 | 7.0 | 3.7 | 1.9 | 3.6 | N/A | 1.8 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Public Issue | N/A | 2019-02-01 | 2019-02-14 | N | 1002 | N/A | 0.5 | 39.0 | 24.5 | 8.5 | 7.5 | 7.5 | 2.5 | 1.0 | N/A | N/A | 1.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2019-02-04 | 2019-02-05 | N | 1000 | N/A | 0.1 | 36.7 | 24.7 | 6.1 | 7.5 | 6.5 | 2.8 | 1.7 | 1.6 | 1.5 | 1.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2019-02-01 | 2019-02-04 | N | 1000 | N/A | 0.5 | 30.0 | 24.5 | 6.0 | 7.0 | 5.5 | 1.5 | N/A | 0.5 | 1.0 | 0.5 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vox Pop Analysis | Documento | 2019-02-01 | 2019-02-02 | N | 1205 | N/A | 0.1 | 37.2 | 25.1 | 4.8 | 9.1 | 6.1 | 2.7 | 1.3 | 1.5 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2019-01-28 | 2019-01-29 | N | 7536 | N/A | 0.1 | 29.5 | 27.5 | 4.8 | 9.2 | 3.5 | 1.9 | 0.9 | 0.9 | 1.3 | 0.7 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RASS | in.gr | 2019-01-21 | 2019-01-24 | N | 1004 | N/A | 0.1 | 36.6 | 25.2 | 10.3 | 8.6 | 8.4 | 2.8 | 1.9 | N/A | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-01-20 | 2019-01-22 | N | 1356 | N/A | 0.5 | 38.0 | 26.0 | 7.5 | 9.0 | 6.5 | 2.0 | 1.0 | 1.0 | 1.0 | 1.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2019-01-14 | 2019-01-17 | N | 1002 | N/A | 0.1 | 37.3 | 26.9 | 7.5 | 7.5 | 6.9 | 2.7 | 1.7 | 1.4 | N/A | 2.2 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2019-01-10 | 2019-01-16 | N | 1000 | N/A | 0.1 | 42.5 | 22.0 | 5.1 | 5.8 | 5.5 | 2.0 | 0.5 | 1.7 | 2.0 | 1.0 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-12-16 | 2018-12-18 | N | 1354 | N/A | 0.5 | 38.0 | 26.0 | 8.0 | 8.0 | 7.0 | 2.0 | 1.5 | N/A | N/A | 1.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open | 2018-12-05 | 2018-12-10 | N | 1000 | N/A | 0.1 | 32.8 | 25.4 | 6.4 | 8.6 | 7.4 | 2.3 | 2.4 | 3.4 | N/A | 1.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | thebest.gr | 2018-12-04 | 2018-12-06 | N | 1004 | N/A | 0.1 | 31.7 | 25.7 | 8.1 | 9.5 | 7.4 | 2.9 | 2.8 | 1.6 | N/A | 1.9 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | real.gr | 2018-11-28 | 2018-12-06 | N | 2000 | N/A | 0.1 | 37.1 | 27.6 | 8.1 | 8.1 | 7.1 | 2.7 | 1.7 | N/A | N/A | 1.7 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | TVXS | 2018-11-20 | 2018-11-23 | N | 1025 | N/A | 0.5 | 34.0 | 28.5 | 6.5 | 7.5 | 6.5 | 3.5 | 1.5 | N/A | N/A | 2.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Τα Νέα | 2018-11-19 | 2018-11-21 | N | 1205 | N/A | 0.1 | 37.8 | 26.9 | 6.9 | 7.2 | 6.3 | 2.4 | 1.3 | N/A | N/A | 2.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-11-18 | 2018-11-20 | N | 1356 | N/A | 0.5 | 36.5 | 25.5 | 9.0 | 8.5 | 7.5 | 2.5 | 2.0 | 1.0 | N/A | 2.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Public Issue | N/A | 2018-11-06 | 2018-11-16 | N | 1000 | N/A | 0.5 | 38.5 | 22.0 | 9.5 | 7.0 | 7.5 | 2.0 | 1.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2018-10-22 | 2018-10-24 | N | 1002 | N/A | 0.1 | 36.8 | 23.7 | 8.4 | 7.6 | 7.3 | 2.8 | 1.5 | 1.5 | N/A | 2.3 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-10-14 | 2018-10-16 | N | 1355 | N/A | 0.5 | 38.0 | 25.0 | 8.5 | 9.0 | 7.5 | 2.0 | 2.0 | 1.0 | N/A | 2.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | TVXS | 2018-09-18 | 2018-09-21 | N | 1016 | N/A | 0.5 | 34.0 | 28.0 | 8.0 | 5.5 | 6.0 | 2.5 | 1.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Τα Νέα | 2018-09-18 | 2018-09-20 | N | 1000 | N/A | 0.1 | 36.9 | 25.2 | 8.1 | 6.0 | 6.7 | 3.2 | 1.3 | 1.6 | 1.6 | 2.3 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2018-09-17 | 2018-09-19 | N | 1004 | N/A | 0.1 | 37.6 | 26.9 | 7.9 | 7.3 | 7.2 | 3.2 | 1.8 | N/A | N/A | 1.2 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Kontra Channel | 2018-09-17 | 2018-09-19 | N | 1000 | N/A | 0.1 | 33.3 | 25.8 | 6.5 | 8.0 | 7.5 | 2.9 | 2.6 | 2.5 | N/A | 1.7 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | ΕΘΝΟΣ | 2018-09-17 | 2018-09-18 | N | 1005 | N/A | 0.1 | 31.4 | 25.2 | 8.8 | 10.1 | 7.1 | 2.9 | 3.2 | 2.0 | N/A | 1.7 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-09-16 | 2018-09-18 | N | 1354 | N/A | 0.5 | 38.0 | 26.0 | 8.0 | 9.0 | 7.0 | 2.5 | 2.0 | 1.0 | N/A | 2.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2018-09-08 | 2018-09-08 | N | 1000 | N/A | 0.1 | 36.4 | 23.2 | 7.8 | 8.4 | 7.3 | 3.1 | 1.4 | 1.7 | N/A | 1.8 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | ΕΘΝΟΣ | 2018-06-25 | 2018-07-02 | N | N/A | N/A | 0.1 | 30.6 | 23.4 | 9.1 | 11.4 | 7.5 | 3.4 | 2.6 | 2.0 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Real | 2018-06-22 | 2018-06-29 | N | 2000 | N/A | 0.1 | 36.8 | 25.2 | 10.6 | 8.4 | 6.9 | 3.4 | 2.1 | N/A | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Τα Νέα | 2018-06-26 | 2018-06-28 | N | 1000 | N/A | 0.1 | 36.7 | 22.6 | 9.9 | 8.0 | 6.8 | 3.2 | 2.0 | N/A | 1.6 | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Kontra Channel | 2018-06-23 | 2018-06-27 | N | 1000 | N/A | 0.1 | 32.6 | 23.6 | 7.4 | 7.5 | 8.6 | 3.6 | 1.4 | 2.5 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-06-24 | 2018-06-26 | N | 1323 | N/A | 0.1 | 39.0 | 24.5 | 8.5 | 8.5 | 7.0 | 2.9 | 2.0 | 1.0 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2018-06-13 | 2018-06-15 | N | 1000 | N/A | 0.1 | 37.8 | 20.0 | 9.3 | 9.0 | 7.9 | 3.4 | 2.1 | 2.0 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RASS | Action 24 | 2018-05-29 | 2018-05-31 | N | 1002 | N/A | 0.1 | 36.2 | 23.7 | 11.8 | 8.5 | 8.3 | 3.4 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Kontra Channel | 2018-05-16 | 2018-05-20 | N | 1000 | 80.4 | 0.1 | 25.7 | 20.2 | 6.4 | 7.0 | 6.0 | 2.3 | 1.8 | 2.1 | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-05-13 | 2018-05-15 | N | 1341 | N/A | 0.5 | 37.0 | 25.0 | 9.0 | 9.0 | 7.0 | 2.5 | 2.5 | 1.0 | 1.0 | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Public Issue | N/A | 2018-04-23 | 2018-05-07 | N | 1003 | N/A | 0.5 | 39.0 | 20.0 | 11.0 | 8.5 | 6.5 | 3.5 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Τα Νέα | 2018-04-21 | 2018-04-21 | N | N/A | N/A | 0.1 | 36.3 | 23.3 | 9.0 | 7.1 | 6.7 | 3.3 | 2.5 | 1.5 | 2.3 | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-04-15 | 2018-04-17 | N | 1356 | N/A | 0.5 | 36.0 | 24.5 | 10.5 | 9.0 | 7.5 | 2.5 | 2.5 | N/A | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Ραδιόφωνο 24/7 | 2018-04-11 | 2018-04-16 | N | 1000 | N/A | 0.1 | 31.4 | 24.5 | 7.9 | 8.8 | 6.3 | 2.6 | 2.6 | 3.7 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | TVXS | 2018-04-12 | 2018-04-15 | N | 1009 | N/A | 0.5 | 32.5 | 25.5 | 9.5 | 7.5 | 8.5 | 3.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | ΕΘΝΟΣ | 2018-04-03 | 2018-04-03 | N | 8000 | N/A | 0.1 | 28.4 | 22.6 | 10.3 | 10.3 | 8.3 | 3.0 | 3.3 | 2.0 | 1.8 | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2018-03-01 | 2018-03-23 | N | N/A | N/A | 0.1 | 35.3 | 22.7 | 9.8 | 8.9 | 7.8 | 3.2 | 2.1 | 2.1 | 1.3 | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2018-03-11 | 2018-03-13 | N | 1304 | N/A | 0.5 | 36.0 | 24.5 | 10.0 | 9.0 | 7.0 | 2.5 | 2.5 | N/A | 1.0 | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RASS | Πρώτο Θέμα | 2018-03-06 | 2018-03-08 | N | 1002 | N/A | 0.1 | 35.8 | 23.4 | 12.4 | 8.8 | 7.7 | 3.3 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Παρασκήνιο | 2018-03-03 | 2018-03-03 | N | N/A | N/A | 0.1 | 38.7 | 25.6 | 9.1 | 7.0 | 7.1 | 2.9 | 1.2 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | Δημοκρατία | 2018-03-03 | 2018-03-03 | N | N/A | N/A | 0.5 | 35.5 | 25.0 | 9.5 | 9.5 | 7.0 | 2.5 | 2.5 | 1.0 | 2.5 | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | ΕΘΝΟΣ | 2018-02-22 | 2018-02-24 | N | 1000 | N/A | 0.1 | 32.0 | 24.7 | 9.3 | 10.3 | 7.5 | 2.7 | 3.0 | 3.0 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2018-02-12 | 2018-02-23 | N | 2300 | N/A | 0.1 | 34.9 | 25.2 | 8.4 | 9.4 | 7.0 | 3.0 | 2.5 | 1.9 | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | Action 24 | 2018-01-25 | 2018-01-29 | N | 1518 | N/A | 0.5 | 36.5 | 24.0 | 10.5 | 9.5 | 6.5 | 2.5 | 2.5 | 1.0 | 1.0 | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Τα Νέα | 2018-01-20 | 2018-01-20 | N | N/A | N/A | 0.1 | 35.4 | 24.9 | 9.8 | 6.6 | 6.9 | 3.2 | 2.7 | N/A | 2.7 | N/A | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Ραδιόφωνο 24/7 | 2018-01-16 | 2018-01-18 | N | 1000 | N/A | 0.1 | 32.7 | 25.0 | 9.7 | 9.3 | 7.3 | 2.6 | 2.9 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Public Issue | N/A | 2018-01-08 | 2018-01-18 | N | 1010 | N/A | 0.5 | 37.0 | 21.5 | 13.0 | 8.0 | 7.5 | 2.0 | 2.0 | N/A | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2018-01-13 | 2018-01-13 | N | N/A | N/A | 0.1 | 35.1 | 22.9 | 11.0 | 8.1 | 7.7 | 3.4 | 2.9 | 2.2 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | bankingnews.gr | 2018-01-08 | 2018-01-10 | N | 1207 | N/A | 0.5 | 36.5 | 25.0 | 10.0 | 8.5 | 6.5 | 2.5 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
